Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,38900.5,46929.0,38058.0,46417.5,46417.5,4677725938
2021-02-09,46417.5,48277.0,45073.5,46513.5,46513.5,3586243118
2021-02-10,46513.5,47495.0,43802.5,44888.0,44888.0,2946590028
2021-02-11,44888.0,48833.5,44051.5,48082.0,48082.0,3643247396
2021-02-12,48082.0,49180.0,46234.5,47485.0,47485.0,2832796323
2021-02-13,47485.0,48335.0,46250.5,47265.5,47265.5,2057217655
2021-02-14,47265.5,49876.5,47105.0,48690.5,48690.5,2608808984
2021-02-15,48690.5,49080.0,45726.0,48018.5,48018.5,2614365272
2021-02-16,48018.5,50980.0,47140.0,49199.5,49199.5,3606645741
2021-02-17,49199.5,52743.0,48949.5,52209.5,52209.5,2907233492
2021-02-18,52209.5,52594.5,50940.0,51613.0,51613.0,2165933671
2021-02-19,51613.0,56454.0,50732.0,55934.0,55934.0,2963785938
2021-02-20,55934.0,57636.0,53991.0,55934.5,55934.5,2810562544
2021-02-21,55934.5,58464.0,55552.0,57542.5,57542.5,2276211707
2021-02-22,57542.5,57577.5,47566.5,54122.5,54122.5,6469168708
2021-02-23,54122.5,54205.5,44813.0,48923.5,48923.5,7289632823
2021-02-24,48923.5,51420.0,46961.5,49691.0,49691.0,2903146594
2021-02-25,49691.0,52151.5,46717.0,47110.0,47110.0,2984172940
2021-02-26,47110.0,48428.5,44100.0,46320.0,46320.0,3727451804
2021-02-27,46320.0,48399.5,45000.0,46171.5,46171.5,1872080256
2021-02-28,46171.5,46644.5,43040.0,45211.0,45211.0,2973600828
2021-03-01,45211.0,49833.0,45030.5,49664.5,49664.5,2102619079
2021-03-02,49664.5,50272.0,47100.0,48483.5,48483.5,2101593607
2021-03-03,48483.5,52669.5,48157.5,50346.0,50346.0,2433721732
2021-03-04,50346.0,51775.0,47468.0,48333.0,48333.0,2698319781
2021-03-05,48333.0,49461.0,46266.0,48768.5,48768.5,2598617339
2021-03-06,48768.5,49225.5,47092.0,48904.5,48904.5,1420976714
